"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9323","Тест на проверку заказа в работе","tests","Fri Jun 20 02:14:40 EEST 2025","passed","Fri Jun 20 02:14:50 EEST 2025","TestOrders","test_orders_line","",""
"","3236","Тест на переход на Ленту Заказов","tests","Fri Jun 20 02:11:22 EEST 2025","passed","Fri Jun 20 02:11:25 EEST 2025","TestHomePage","test_home_page","",""
"","4642","Тест на клик по заказу в Ленте Заказов","tests","Fri Jun 20 02:13:18 EEST 2025","passed","Fri Jun 20 02:13:23 EEST 2025","TestOrders","test_orders_line","",""
"","2391","Тест на перенос ингредиента","tests","Fri Jun 20 02:12:40 EEST 2025","passed","Fri Jun 20 02:12:43 EEST 2025","TestHomePage","test_home_page","",""
"","2124","Тест на переход на Конструктор","tests","Fri Jun 20 02:11:41 EEST 2025","passed","Fri Jun 20 02:11:43 EEST 2025","TestHomePage","test_home_page","",""
"","2733","Тест на ввод пароля и сделать его видимым","tests","Fri Jun 20 02:15:51 EEST 2025","passed","Fri Jun 20 02:15:54 EEST 2025","TestRecovery","test_recovery","",""
"","8278","Тест на увеличение количества заказов за все время","tests","Fri Jun 20 02:13:27 EEST 2025","passed","Fri Jun 20 02:13:35 EEST 2025","TestOrders","test_orders_line","",""
"","2680","Тест на ввод пароля и сделать его видимым","tests","Fri Jun 20 02:15:41 EEST 2025","passed","Fri Jun 20 02:15:43 EEST 2025","TestRecovery","test_recovery","",""
"","2651","Тест на ввод email и нажатия кнопки Восстановить","tests","Fri Jun 20 02:15:34 EEST 2025","passed","Fri Jun 20 02:15:37 EEST 2025","TestRecovery","test_recovery","",""
"","3576","Тест на переход на Ленту Заказов","tests","Fri Jun 20 02:11:33 EEST 2025","passed","Fri Jun 20 02:11:37 EEST 2025","TestHomePage","test_home_page","",""
"","4697","Тест на выход из моего кабинета","tests","Fri Jun 20 02:17:02 EEST 2025","passed","Fri Jun 20 02:17:07 EEST 2025","TestRedirect","test_redirect","",""
"","9216","Тест на проверку заказа в работе","tests","Fri Jun 20 02:14:23 EEST 2025","passed","Fri Jun 20 02:14:33 EEST 2025","TestOrders","test_orders_line","",""
"","8373","Тест на увеличение количества заказов за все время","tests","Fri Jun 20 02:13:43 EEST 2025","passed","Fri Jun 20 02:13:51 EEST 2025","TestOrders","test_orders_line","",""
"","3707","Тест на переход в Личный кабинет","tests","Fri Jun 20 02:16:24 EEST 2025","passed","Fri Jun 20 02:16:27 EEST 2025","TestRedirect","test_redirect","",""
"","1464","Тест на редирект на страницу Восстановления пароля","tests","Fri Jun 20 02:15:58 EEST 2025","passed","Fri Jun 20 02:15:59 EEST 2025","TestRedirect","test_redirect","",""
"","1538","Тест на редирект на страницу Восстановления пароля","tests","Fri Jun 20 02:16:07 EEST 2025","passed","Fri Jun 20 02:16:08 EEST 2025","TestRedirect","test_redirect","",""
"","2183","Тест клик по ингредиенту","tests","Fri Jun 20 02:11:58 EEST 2025","passed","Fri Jun 20 02:12:00 EEST 2025","TestHomePage","test_home_page","",""
"","3506","Тест создания заказа","tests","Fri Jun 20 02:12:58 EEST 2025","passed","Fri Jun 20 02:13:02 EEST 2025","TestHomePage","test_home_page","",""
"","2575","Тест на закрытие окна ингредиента","tests","Fri Jun 20 02:12:24 EEST 2025","passed","Fri Jun 20 02:12:26 EEST 2025","TestHomePage","test_home_page","",""
"","3465","Тест на переход в Личный кабинет","tests","Fri Jun 20 02:16:12 EEST 2025","passed","Fri Jun 20 02:16:16 EEST 2025","TestRedirect","test_redirect","",""
"","3564","Тест на переход в Историю заказов","tests","Fri Jun 20 02:16:42 EEST 2025","passed","Fri Jun 20 02:16:46 EEST 2025","TestRedirect","test_redirect","",""
"","2328","Тест клик по ингредиенту","tests","Fri Jun 20 02:12:08 EEST 2025","passed","Fri Jun 20 02:12:10 EEST 2025","TestHomePage","test_home_page","",""
"","2714","Тест на переход на Конструктор","tests","Fri Jun 20 02:11:51 EEST 2025","passed","Fri Jun 20 02:11:54 EEST 2025","TestHomePage","test_home_page","",""
"","3593","Тест создания заказа","tests","Fri Jun 20 02:12:47 EEST 2025","passed","Fri Jun 20 02:12:50 EEST 2025","TestHomePage","test_home_page","",""
"","4446","Тест на клик по заказу в Ленте Заказов","tests","Fri Jun 20 02:13:06 EEST 2025","passed","Fri Jun 20 02:13:10 EEST 2025","TestOrders","test_orders_line","",""
"","8359","Тест на увеличение количества заказов за сегодня","tests","Fri Jun 20 02:14:11 EEST 2025","passed","Fri Jun 20 02:14:19 EEST 2025","TestOrders","test_orders_line","",""
"","3185","Тест на ввод email и нажатия кнопки Восстановить","tests","Fri Jun 20 02:15:23 EEST 2025","passed","Fri Jun 20 02:15:26 EEST 2025","TestRecovery","test_recovery","",""
